asset,date,open,high,low,close,volume,return_1d,log_return,volatility_20d_ann,ma_gap_20_60,drawdown_126d,hmm_state,hmm_label,hmm_label_code,prob_bear,prob_neutral,prob_bull,smooth_prob_bear_5,smooth_prob_neutral_5,smooth_prob_bull_5,state_mean_daily_return,state_ann_return,state_ann_vol,state_sharpe,state_count,model_loglik,target_label_plus_1_steps,target_code_plus_1_steps
GLD,2025-10-27,371.1300049,371.5899963,365.3399963,367.0100098,23657600,-0.0278395305,-0.02823439607,0.3548291736,0.0928301185,-0.08964401508,0,Bear,0,1,5.218577155e-35,3.54869285e-101,0.4438382302,6.306080629e-09,0.5561617635,-0.0001790781204,-0.0441245782,0.2391350047,-0.1845174372,155,-2086.875516,Bear,0
GLD,2025-11-03,368.9100037,370.8399963,367.5400085,368.7799988,7254300,0.001792903594,0.00179129826,0.3558070741,0.08557893783,-0.08525361686,0,Bear,0,1,3.837696911e-31,8.512239313e-94,0.6437266695,3.094834427e-10,0.3562733302,-0.0003140664096,-0.076093807,0.23856783,-0.3189608884,155,-2049.943536,Bear,0
GLD,2025-11-10,375.9299927,378.6600037,374.7799988,378.3800049,13456200,0.0273411186,0.02697402633,0.3539306145,0.0698766848,-0.06144112462,0,Bear,0,1,4.841096147e-16,9.34166827e-60,0.8435477903,7.635923742e-12,0.1564522097,-0.0001448655181,-0.03584779763,0.2784990817,-0.1287178306,94,-1980.716539,Bear,0
GLD,2025-11-17,374.0400085,375.4599915,368.519989,371.6499939,13295200,-0.0114639793,-0.01153019728,0.3131908872,0.04490827177,-0.0781346905,0,Bear,0,0.9999999993,7.059029627e-10,9.190232648e-60,0.9999999999,1.411806894e-10,3.918335665e-12,-0.0003188264496,-0.07720139585,0.2750353529,-0.2806962634,99,-1957.34975,Bear,0
GLD,2025-11-24,374.8800049,380.2799988,374.1900024,380.2000122,10085300,0.0158442391,0.01572002943,0.1903490236,0.03056956524,-0.05692665766,0,Bear,0,0.9929353377,0.007064662252,2.332198852e-21,0.9985870674,0.001412932592,4.664397703e-22,4.0718035e-05,0.01031376884,0.2691801685,0.03831548548,105,-1954.93902,Neutral,1
GLD,2025-12-02,388.8699951,388.980011,382.9100037,387.2399902,8103900,-0.006440050714,-0.006460877305,0.1813064229,0.03014785512,-0.03946422895,1,Neutral,1,0.04406051763,0.9559394823,1.049119319e-10,0.8073991709,0.192600829,2.098238638e-11,0.000378498329,0.1000785418,0.1447333465,0.6914684435,215,-1974.304474,Neutral,1
GLD,2025-12-09,385.6199951,388.2099915,385.269989,387.3999939,6358700,0.005137202013,0.005124051609,0.1361157537,0.03068838075,-0.03906734525,1,Neutral,1,2.799326987e-07,0.9999997006,1.951653896e-08,0.6073992269,0.3926007692,3.924290179e-09,0.0004927856375,0.1322218947,0.141792533,0.9325025228,218,-1979.639017,Neutral,1
GLD,2025-12-16,397.75,398.7099915,394.5899963,395.8900146,9201600,0.0002274554276,0.0002274295635,0.08834615066,0.02799926279,-0.01800813434,1,Neutral,1,4.094334827e-05,0.9760370913,0.02392196539,0.4074074156,0.5878081874,0.004784397002,0.0006828264557,0.187763666,0.1409541825,1.332090064,218,-1982.936879,Bull,2
GLD,2025-12-23,410.2999878,413.7600098,407.1000061,413.6400146,13193300,0.01325234186,0.01316529776,0.1092451525,0.03341751789,0,2,Bull,2,4.42129807e-05,2.423641567e-05,0.9999315506,0.2074162583,0.5878130345,0.2047707071,0.003545710751,1.443714235,0.1289168037,11.19880569,194,-1974.293872,Bear,0
GLD,2025-12-31,398.6000061,400.1300049,395.5899963,396.3099976,10194700,-0.006467991163,-0.006488999254,0.2035084062,0.03514287694,-0.04902335546,0,Bear,0,0.9873913094,0.01260869057,1.589045538e-17,0.2063074527,0.5889218402,0.2047707071,-0.0008970246081,-0.2023219438,0.2750280293,-0.7356411791,109,-1968.595672,Bear,0
